,character,line,gender
264,JANE,I liked the way you explained that. What's gonna happen to me?,FEMALE
265,THOR,"I'll find a way to save you, Jane.",MALE
266,JANE,Your father said there was...,FEMALE
267,THOR,My father doesn't know everything.,MALE
268,FRIGGA,Don't let him hear you say that.,MALE
269,THOR,"JANE, please meet Frigga, the Queen of Asgard, my mother.",MALE
270,JANE,Hi.,FEMALE
271,LOKI,You might want to take the stairs to the left.,MALE
272,FRIGGA,The prisons.,MALE
273,THOR,Loki.,MALE
274,FRIGGA,"Go, I will look after her.",MALE
275,FANDRAL,It's as if they resent being imprisoned.,MALE
276,VOLSTAGG,There's no pleasing some creatures.,MALE
277,THOR,"Return to your cells and further harm will come to you. You have my word.  Very well, you don't have my word.",MALE
278,ODIN,"Send a squadron to the weapons vault, defend it at all costs. Seal the dungeon.",MALE
279,FRIGGA,Odin.,MALE
280,ODIN,"Frigga.  Go!  It's a skirmish, nothing to fear.",MALE
281,FRIGGA,You've never been a very good liar.,MALE
282,ODIN,"Take her to you chambers, I'll come for you when it's safe.",MALE
283,FRIGGA,You take care.,MALE
284,ODIN,"Despite all I have survived, my queen still worries over me.",MALE
285,FRIGGA,"It's only because I worry over you that you have survived.  Listen to me now, I need you to do everything I ask and no questions.",MALE
286,JANE,"Yes, ma'am.",FEMALE
287,ODIN,Frigga.,MALE
288,FRIGGA,"Stand down, creature. You may still survive this.",MALE
289,MALEKITH,"I have survived worse, woman.",MALE
290,FRIGGA,Who are you?,MALE
291,MALEKITH,"I am Malekith, and I would have what it is mine.  You have taken something, child. Give it back.  Witch! Where is the Aether?",MALE
292,FRIGGA,I'll never tell.,MALE
293,MALEKITH,I believe you.,MALE
294,SELVIG,"The universe rotates on a five thousand year cycle, and once its cycled all the worlds align.  Imagine...imagine that this is our world, and...and...  Oh, thank you. And this is another world. Normally they're separate, but during the alignment everything is connected. All Nine Realms, all Nine Realms are passing through each other and gravity, light, and even matter, is crunching from one world to the other.  But if this happens to us now, the result would be cataclysmic.  My gravimetric spikes can stabilize the focal point of the Convergence.  This time the alignment, and all the other worlds, would just pass up by. It's beautiful. It's simple. Any questions?",FEMALE
295,PATIENT,Yeah. Can I have my shoe back?,MALE
296,KURSE,"I need your strength to reclaim the Aether. And when you wake up, you will kill them all.",MALE
297,ASGARDIAN EINHERJAR,Jane Foster. You need to come with us.,MALE
298,FANDRAL,"We are still unable to restore the palace shields. Our artillery cannot detect them, even Heimdall cannot see them. My King, we are all but defenseless.",MALE
299,THOR,She's your prisoner now?  Leave us.,MALE
300,ODIN,I do not wish to fight with you.,MALE
301,THOR,"Nor I with you, but I intend to pursue Malekith.",MALE
302,ODIN,"We possess the Aether, Malekith will come to us.",MALE
303,THOR,"Yes, and you will destroy us.",MALE
304,ODIN,You overestimate the power of these creatures.,MALE
305,THOR,"No, I value our peoples lives. I'll take Jane to the Dark World and draw the enemy away from Asgard. When Malekith pulls the Aether from Jane it will be exposed vulnerable, and I will destroy it and him.",MALE
306,ODIN,"If you fail, you risk this weapon falling into the hands of our enemies.",MALE
307,THOR,The risk is far greater if we do nothing. His ship could be over our heads right now and we'd never even know it.,MALE
308,ODIN,"If and when he comes, his men will fall by ten thousand Asgardian blades.",MALE
309,THOR,And how of our men shall fall on theirs?,MALE
310,ODIN,"As many as are needed!  We will fight! Until the last Asgardian breath, the last drop of Asgardian blood.",MALE
311,THOR,And how are you different from Malekith?,MALE
312,ODIN,"The difference, my son, is that I will win.",MALE
313,DARCY LEWIS,Jane isn't called me back. Erik isn't calling me back. Stupid SHIELD isn't calling me back!,FEMALE
314,IAN BOOTHBY,What's SHIELD?,MALE
315,DARCY LEWIS,"It's a secret.  Uh...hey, Erik. It's Darcy again. Uh...Thor came back, he took Jane to Asgard and um...I'm not sure what I'm supposed to do.",FEMALE
316,NEWS REPORTER,"Something else went missing this week when Astrophysicist, SELVIG, notable for his involvement in the Alien invasion in New York streaked nude across Stonehenge.",MALE
317,IAN BOOTHBY,"Darcy, you really need to look at this. Your friend Erik, what was his last name again?",MALE
318,NEWS REPORTER,...disrobed and began shouting at visitors at the historic site. He was later taken into police custody for psychiatric evaluation. The police are still refusing to confirm...,MALE
319,THOR,You're not in Odin's war council?,MALE
320,HEIMDALL,The Bifrost is closed by your father's orders. No one is to come or to go.  We face an enemy that is invisible even to me. Of what use is a guardian such as that?,MALE
321,THOR,"Malekith will return, you know this. I'll need your help.",MALE
322,HEIMDALL,"I cannot overrule my King's wishes, not even for you.",MALE
323,THOR,"I'm not asking you to. The Realms need their All-Father strong and unchallenged, whether he is or not. But he is blinded, Heimdall, by hatred and by grief.",MALE
324,HEIMDALL,As are we all.,MALE
325,THOR,Well I see clearly enough.,MALE
326,HEIMDALL,The risks are too great.,MALE
327,THOR,"Everything that we do from here on is a risk, there is no other way.",MALE
328,HEIMDALL,What do you require of me?,MALE
329,THOR,"What I'm about to ask of you is treason of the highest order. Success will bring us exile and failure shall mean our death. Malekith knew the Aether was here, he can sense its power. If we do nothing he will come for it again, but this time lay waste to all of Asgard.  We must move Jane off world.",MALE
330,SIF,The Bifrost has been shut down and the Tesseract locked away in a vault.,FEMALE
331,HEIMDALL,"There are other paths off Asgard, ways known only to a few.",MALE
332,THOR,"One, actually.",MALE
333,VOLSTAGG,No.,MALE
334,LOKI,"Thor, after all this time and now you come to visit me. Why? Have you come to gloat? To mock?",MALE
335,THOR,"Loki, enough. No more illusions.",MALE
336,LOKI,"Now you see me, brother.  Did she suffer?",MALE
337,THOR,I did not come here to share our grief. Instead I offer you the chance of a far richer sacrament.,MALE
338,LOKI,Go on.,MALE
339,THOR,"I know you seek vengeance as much as I do. You help me escape Asgard and I will grant it to you, vengeance. And afterward, this cell.",MALE
340,LOKI,You must be truly desperate to come to me for help. What makes you think you can trust me?,MALE
341,THOR,"I don't. Mother did. You should know that when we fought each other in the past, I did so with a glimmer of hope that my brother was still in there somewhere. That hope no longer exists to protect you. You betray me and I will kill you.",MALE
342,LOKI,Hmm. When do we start?,MALE
343,FANDRAL,He will betray you.,MALE
344,THOR,He will try.,MALE
345,LOKI,"This is so unlike you, brother. So clandestine. Are you sure you wouldn't rather just punch your way out?",MALE
346,THOR,If you keep speaking I just might.,MALE
347,LOKI,Fine. As you wish. I'm not even here.  Is this better?,MALE
348,LOKI,"Still, we could be less conspicuous.  Hm, brother. You look ravishing.",MALE
349,THOR,It will hurt no less when I kill you in this form.,MALE
350,LOKI,"Very well. Perhaps you prefer one of your new companions, given that you seem to like them so much.  Oh, this is much better. Woh. The costume's a bit much, so tight. But the confidence, I can feel the righteousness surging. Hey, you wanna have a rousing discussion about truth, honor, patriotism? God bless Amer–  What?  You could at least furnish me with a weapon. My dagger, something!  At last, a little common sense.",MALE
351,THOR,And I thought you liked tricks.,MALE
352,FANDRAL,"Well, what then? Your lovely mortal is being guarded by a legion of our Einherjar who will see you coming from miles away.",MALE
353,THOR,I won't be the one who comes for her.,MALE
354,JANE,I'm not hungry.,FEMALE
355,SIF,"Good, let's go.",FEMALE
356,JANE,You're...,FEMALE
357,LOKI,I'm Loki. You may have heard of...,MALE
358,JANE,That was for New York.,FEMALE
359,LOKI,I like her.,MALE
360,SIF,And what of the All-Father?,FEMALE
361,HEIMDALL,It is my sworn duty to notify him of crimes against the throne.,MALE
362,ODIN,You called me here on an urgent matter. What is it?,MALE
363,HEIMDALL,"Treason, my lord.",MALE
364,ODIN,Whose?,MALE
365,HEIMDALL,Mine.,MALE
366,ASGARDIAN EINHERJAR,"My King, the mortal has been taken.",MALE
367,ODIN,"Stop Thor, by any means necessary.",MALE
368,GUARDS,There they are! Take them. On my command.,MALE
369,SIF,I'll hold them off. Take her.,FEMALE
370,THOR,Thank you.,MALE
371,SIF,Betray him and I'll kill you.,FEMALE
372,LOKI,"It's good to see you too, Sif.",MALE
373,VOLSTAGG,"Assuming you can get Loki's help, and you can free this mortal, what good would it do? We'd all be dead the minute we step one foot outside the palace.",MALE
374,THOR,"That, my friend, is where we won't be leaving by foot.",MALE
375,VOLSTAGG,I will give you as much time as I can.,MALE
376,THOR,"Thank you, my friend.",MALE
377,VOLSTAGG,If you even think about betraying him...,MALE
378,LOKI,You'll kill me? Evidently there will be a line.   I thought you said you knew how to fly this thing.,MALE
379,THOR,"I said, ""how hard could it be?""",MALE
380,GUARD,They're on the ship!,MALE
381,LOKI,"They're on the ship!  Well, whatever you're doing, brother, I suggest you do it faster.",MALE
382,THOR,"Shut up, Loki.",MALE
383,LOKI,You must have missed something.,MALE
384,THOR,"No, I didn't, I'm pressing every button on this thing.",MALE
385,LOKI,"No, don't hit it, just press it gently.",MALE
386,THOR,I am pressing it gently. It's not working!,MALE
387,GUARDS,Get him! Get him!,MALE
388,LOKI,I think you missed a column.,MALE
389,THOR,Shut up!,MALE
390,LOKI,"Look, why don't you let me take over, I'm clearly the better pilot.",MALE
391,THOR,"Is that right? Well, out of the two of us which one can actually fly?",MALE
392,LOKI,"Oh, dear. Is she dead?",MALE
393,THOR,Jane.,MALE
394,JANE,I'm okay.,FEMALE
395,THOR,Not a word.,MALE
396,LOKI,Now they're following us.  Now they're firing at us!,MALE
397,THOR,"Yeah, thank you for the commentary, Loki! It's not at all distracting!",MALE
398,LOKI,"Well done, you just decapitated your grandfather.  You know this is wonderful. This is a tremendous idea. Let's steal the biggest, most obvious ship in the universe and escape in that. Flying around the city, smashing into everything in sight so everyone can see us. It's brilliant, Thor! It's truly brilliant!",MALE
399,FANDRAL,"I see your time in the dungeons has made you no less graceful, Loki.",MALE
400,LOKI,You lied to me. I'm impressed.,MALE
401,THOR,"I'm glad you're pleased. Now, do as you promised. Take us to your secret pathway.  Fandral.",MALE
402,FANDRAL,"Right.  For Asgard.  Nothing personal, boys!",MALE
403,THOR,Loki!,MALE
404,LOKI,If it were easy everyone would do it.,MALE
405,THOR,Are you mad?,MALE
406,LOKI,Possibly.  Ta-da!,MALE
407,KURSE,We must attack now.,MALE
408,MALEKITH,No. Asgard is not important anymore. The Aether has returned home.,MALE
409,LOKI,What I could do with the power that flows through those veins.,MALE
410,THOR,It would consume you.,MALE
411,LOKI,"She's holding up alright, for now.",MALE
412,THOR,She's strong in ways you'd never even know.,MALE
413,LOKI,Say goodbye.,MALE
414,THOR,Not this day.,MALE
415,LOKI,"This day, the next, a hundred years, it's nothing. It's a heart beat. You'll never be ready. The only woman whose love you've prized will be snatched from you.",MALE
416,THOR,And will that satisfy you?,MALE
417,LOKI,Satisfaction is not in my nature.,MALE
418,THOR,Surrender not in mine.,MALE
419,LOKI,The son of Odin.,MALE
420,THOR,"No, not just of Odin! You think you alone were loved of mother? You had her tricks, but I had her trust!",MALE
421,LOKI,Trust. Was that her last expression? Trust? When you let her die!,MALE
422,THOR,What help were you in your cell?,MALE
423,LOKI,Who put me there? Who put me there?!,MALE
424,THOR,You know damn well! You know damn well who!  She wouldn't want us to fight.,MALE
425,LOKI,"Well, she wouldn't exactly be shocked.",MALE
426,THOR,I wish I could trust you.,MALE
427,LOKI,Trust my rage.,MALE
428,DESK OFFICER,"You'll have to sign for your father's belongings, Mr. Selvig.",MALE
429,IAN BOOTHBY,"What? Oh, yeah. My father, Dr. Erik Selvig.",MALE
430,DESK OFFICER,"One; a man's leather wallet, brown. One key ring with three keys. Prescription medicine.  Various.",MALE
431,DARCY LEWIS,Erik.,FEMALE
432,DESK OFFICER,And...  These.,MALE
433,IAN BOOTHBY,"Yeah, those. Thank goodness.",MALE
434,DARCY LEWIS,Erik.,FEMALE
435,SELVIG,Yes?,FEMALE
436,DARCY LEWIS,It's uh...Darcy.,FEMALE
437,SELVIG,Darcy.  It's so good to see you.,FEMALE
438,DARCY LEWIS,Uh...I missed you too.,FEMALE
439,SELVIG,How did you find me?,FEMALE
440,IAN BOOTHBY,You were naked on TV.,MALE
441,DARCY LEWIS,"Okay, time to go. Lots to do.  Getting weird now.  I should not be left in charge of stuff like this, I don't get paid enough. I don't get paid period.",FEMALE
442,IAN BOOTHBY,I'm uh...Ian by the way. Uh..Darcy's intern. I don't get paid either.  Are you alright?,MALE
